paper_experiment_id,paper_group,benchmark,stage,split,history_index,loop_id,selected,derived,dataset,metric,value,unit,formula
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,test,,,True,False,FinanceIQ-保险从业资格CICE,accuracy,76.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,test,,,True,False,FinanceIQ-基金从业资格,accuracy,80.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,test,,,True,False,FinanceIQ-期货从业资格,accuracy,54.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,test,,,True,False,FinanceIQ-注册会计师（CPA）,accuracy,56.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,test,,,True,False,FinanceIQ-理财规划师,accuracy,70.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,test,,,True,False,FinanceIQ-税务师,accuracy,50.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,test,,,True,False,FinanceIQ-精算师-金融数学,accuracy,27.27,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,test,,,True,False,FinanceIQ-经济师,accuracy,90.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,test,,,True,False,FinanceIQ-证券从业资格,accuracy,78.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,test,,,True,False,FinanceIQ-银行从业资格,accuracy,72.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,test,,,True,True,__paper_aggregate__,accuracy,65.327,percent,unweighted mean accuracy across ten released subject views
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,validation,,,True,False,FinanceIQ-保险从业资格CICE,accuracy,84.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,validation,,,True,False,FinanceIQ-基金从业资格,accuracy,68.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,validation,,,True,False,FinanceIQ-期货从业资格,accuracy,74.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,validation,,,True,False,FinanceIQ-注册会计师（CPA）,accuracy,72.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,validation,,,True,False,FinanceIQ-理财规划师,accuracy,80.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,validation,,,True,False,FinanceIQ-税务师,accuracy,68.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,validation,,,True,False,FinanceIQ-精算师-金融数学,accuracy,45.45,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,validation,,,True,False,FinanceIQ-经济师,accuracy,92.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,validation,,,True,False,FinanceIQ-证券从业资格,accuracy,76.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,validation,,,True,False,FinanceIQ-银行从业资格,accuracy,84.0,,
base/7b/FinanceIQ_gen,base-7b,FinanceIQ_gen,final,validation,,,True,True,__paper_aggregate__,accuracy,74.345,percent,unweighted mean accuracy across ten released subject views
