source_table,paper_group,benchmark,split,metric,mean,std,status,observed_n,observed_mean,observed_std,mean_delta,std_delta
ablation-val-test,base-3b,FinanceIQ_gen,test,accuracy,56.98,,missing_observation,0,,,,
ablation-val-test,base-3b,FinanceIQ_gen,validation,accuracy,61.44,,missing_observation,0,,,,
ablation-val-test,base-3b,aime25,test,accuracy,0.0,,missing_observation,0,,,,
ablation-val-test,base-3b,aime25,validation,accuracy,0.0,,missing_observation,0,,,,
ablation-val-test,base-3b,chemcotbench_mol_edit,test,accuracy,14.44,,missing_observation,0,,,,
ablation-val-test,base-3b,chemcotbench_mol_edit,validation,accuracy,13.44,,missing_observation,0,,,,
ablation-val-test,base-3b,panorama_pi4pc,test,gold_hit_rate,21.0,,missing_observation,0,,,,
ablation-val-test,base-3b,panorama_pi4pc,validation,gold_hit_rate,19.0,,missing_observation,0,,,,
ablation-val-test,base-3b,tablebench_visualization,test,pass_at_1,8.0,,missing_observation,0,,,,
ablation-val-test,base-3b,tablebench_visualization,validation,pass_at_1,0.0,,missing_observation,0,,,,
ablation-val-test,ft-agent-planner-gpt-4o,FinanceIQ_gen,test,accuracy,70.95,,missing_observation,0,,,,
ablation-val-test,ft-agent-planner-gpt-4o,FinanceIQ_gen,validation,accuracy,70.33,,missing_observation,0,,,,
ablation-val-test,ft-agent-planner-gpt-4o,aime25,test,accuracy,13.33,,missing_observation,0,,,,
ablation-val-test,ft-agent-planner-gpt-4o,aime25,validation,accuracy,6.67,,missing_observation,0,,,,
ablation-val-test,ft-agent-planner-gpt-4o,chemcotbench_mol_edit,test,accuracy,50.0,,missing_observation,0,,,,
ablation-val-test,ft-agent-planner-gpt-4o,chemcotbench_mol_edit,validation,accuracy,62.22,,missing_observation,0,,,,
ablation-val-test,ft-agent-planner-gpt-4o,panorama_pi4pc,test,gold_hit_rate,29.0,,missing_observation,0,,,,
ablation-val-test,ft-agent-planner-gpt-4o,panorama_pi4pc,validation,gold_hit_rate,38.0,,missing_observation,0,,,,
ablation-val-test,ft-agent-planner-gpt-4o,tablebench_visualization,test,pass_at_1,20.0,,missing_observation,0,,,,
